"data","time.casa","gol.casa","chutes.casa","chutesgol.casa","possebola.casa","passes.casa","Precisaopasse.casa","faltas.casa","cartaoamarelo.casa","cartaovermelho.casa","impedimentos.casa","escanteios.casa","time.fora","gol.fora","chutes.fora","chutesgol.fora","possebola.fora","passes.fora","Precisaopasse.fora","faltas.fora","cartaoamarelo.fora","cartaovermelho.fora","impedimentos.fora","escanteios.fora"
"10/08/19","Flamengo",3,18,5,"58%",506,"86%",14,4,0,0,4,"Grêmio",1,7,2,"42%",380,"82%",15,2,0,1,3
"11/08/19","Palmeiras",2,17,9,"41%",287,"78%",15,6,1,1,8,"Bahia",2,7,4,"59%",428,"84%",19,3,1,1,3
"17/08/19","Corinthians",2,18,9,"43%",393,"87%",17,2,0,2,7,"Botafogo",0,8,3,"57%",545,"89%",13,3,0,2,2
"11/08/19","Avaí",2,13,3,"49%",360,"75%",15,4,1,3,5,"Cruzeiro",2,14,6,"51%",386,"77%",15,1,1,2,1
"11/08/19","Botafogo",2,13,6,"46%",367,"78%",11,3,0,1,7,"Athletico-PR",1,17,8,"54%",426,"80%",12,1,0,0,7
"11/08/19","Goiás",0,19,5,"55%",420,"83%",14,4,0,2,3,"Vasco da Gama",1,12,5,"45%",350,"74%",22,3,1,1,4
"12/08/19","CSA",0,16,5,"52%",470,"87%",19,3,0,3,2,"Fortaleza",2,6,3,"48%",450,"85%",13,1,0,4,3
"17/08/19","Grêmio",1,14,3,"68%",634,"89%",13,0,0,0,3,"Palmeiras",1,15,7,"32%",304,"79%",14,0,0,1,2
"18/08/19","Fluminense",0,33,12,"68%",686,"91%",7,1,0,1,7,"CSA",1,5,3,"32%",344,"72%",16,2,0,1,1
"17/08/19","Vasco da Gama",1,11,6,"42%",347,"82%",12,0,0,0,7,"Flamengo",4,17,10,"58%",491,"87%",18,3,0,0,7
"17/08/19","Fortaleza",0,15,4,"55%",485,"87%",14,1,1,0,7,"Internacional",1,7,2,"45%",413,"84%",14,2,0,4,0
"18/08/19","Bahia",1,14,3,"47%",436,"81%",7,2,1,1,6,"Goiás",1,11,4,"53%",471,"81%",13,3,0,1,6
"18/08/19","São Paulo",1,12,6,"59%",463,"82%",12,3,0,4,5,"Ceará SC",0,10,5,"41%",316,"72%",16,2,0,0,11
"18/08/19","Cruzeiro",2,21,10,"66%",576,"92%",16,2,0,1,8,"Santos",0,4,2,"34%",297,"83%",7,0,1,1,4
"18/08/19","Chapecoense",1,12,1,"41%",317,"68%",25,1,0,2,5,"Avaí",0,5,0,"59%",449,"77%",15,0,0,2,3
"25/08/19","Santos",3,17,10,"61%",486,"86%",14,3,0,1,3,"Fortaleza",3,9,5,"39%",312,"77%",22,3,0,0,5
"25/08/19","Goiás",2,7,4,"26%",203,"68%",9,2,1,0,5,"Internacional",1,11,5,"74%",611,"88%",14,2,0,3,5
"24/08/19","Atlético-MG",0,21,7,"57%",501,"82%",17,0,0,1,6,"Bahia",1,6,5,"43%",391,"75%",16,2,0,0,3
"25/08/19","Vasco da Gama",2,18,7,"52%",473,"85%",19,4,0,0,2,"São Paulo",0,3,1,"48%",449,"83%",16,3,1,2,1
"31/08/19","São Paulo",0,19,4,"55%",496,"81%",10,0,1,0,5,"Grêmio",0,7,3,"45%",426,"79%",9,1,0,0,5
"26/08/19","Botafogo",0,15,2,"61%",450,"84%",13,2,0,0,5,"Chapecoense",0,15,5,"39%",285,"69%",16,1,0,2,4
"25/08/19","Avaí",1,12,2,"48%",399,"78%",19,0,1,2,4,"Corinthians",1,8,4,"52%",420,"78%",15,1,1,2,2
"25/08/19","CSA",1,18,3,"47%",441,"86%",17,3,0,3,6,"Cruzeiro",1,13,6,"53%",497,"86%",14,3,0,1,4
"25/08/19","Ceará SC",0,16,4,"52%",412,"82%",11,3,0,4,9,"Flamengo",3,10,5,"48%",404,"80%",14,0,0,3,2
"31/08/19","Chapecoense",0,8,5,"52%",399,"82%",17,2,0,1,5,"Santos",1,12,4,"48%",386,"80%",19,4,0,3,5
"31/08/19","Athletico-PR",1,11,4,"69%",534,"82%",14,1,0,0,10,"Ceará SC",0,9,5,"31%",247,"61%",15,3,0,2,4
"01/09/19","Flamengo",3,12,4,"66%",658,"90%",15,2,0,0,1,"Palmeiras",0,2,0,"34%",341,"79%",16,2,1,3,1
"31/08/19","Bahia",1,15,7,"67%",538,"84%",15,1,0,0,8,"CSA",0,8,2,"33%",285,"69%",17,1,0,3,2
"31/08/19","Internacional",3,16,9,"49%",485,"83%",10,4,0,0,8,"Botafogo",2,17,7,"51%",496,"85%",6,4,0,1,1
"01/09/19","Cruzeiro",1,11,3,"57%",501,"89%",14,3,0,2,3,"Vasco da Gama",0,12,2,"43%",364,"83%",15,4,0,1,11
"01/09/19","Fortaleza",2,11,3,"52%",389,"82%",21,3,0,0,5,"Goiás",0,7,2,"48%",365,"81%",14,1,1,4,3
"07/09/19","Vasco da Gama",0,21,4,"57%",453,"82%",15,3,0,2,4,"Bahia",2,9,3,"43%",354,"71%",19,1,0,1,3
"01/09/19","Corinthians",1,14,5,"45%",484,"86%",9,0,0,0,10,"Atlético-MG",0,11,5,"55%",607,"86%",14,1,0,1,4
"02/09/19","Fluminense",0,26,10,"61%",509,"88%",14,3,0,0,12,"Avaí",1,7,2,"39%",344,"78%",15,1,0,0,2
"07/09/19","Fortaleza",0,18,8,"46%",413,"86%",13,1,0,2,5,"Fluminense",1,9,4,"54%",472,"86%",15,2,0,4,4
"07/09/19","Internacional",1,13,4,"51%",445,"81%",14,1,0,3,9,"São Paulo",0,9,4,"49%",442,"77%",16,5,0,1,2
"07/09/19","Corinthians",2,13,2,"61%",508,"86%",9,1,0,2,5,"Ceará SC",2,12,6,"39%",320,"81%",10,1,0,2,8
"07/09/19","Goiás",1,9,2,"34%",276,"74%",11,5,0,1,3,"Palmeiras",2,18,9,"66%",516,"83%",21,0,1,2,7
"07/09/19","Avaí",0,8,2,"41%",378,"81%",15,1,1,1,4,"Flamengo",3,9,5,"59%",540,"86%",9,2,0,1,8
"10/09/19","Palmeiras",3,15,8,"46%",406,"83%",12,0,0,0,3,"Fluminense",0,12,1,"54%",463,"87%",11,2,0,2,7
"08/09/19","Cruzeiro",1,19,8,"52%",571,"91%",11,2,0,0,7,"Grêmio",4,12,4,"48%",533,"91%",10,1,0,0,2
"08/09/19","Santos",1,22,11,"62%",437,"77%",8,3,0,1,11,"Athletico-PR",1,9,4,"38%",289,"68%",15,6,0,1,3
"08/09/19","CSA",2,10,4,"48%",312,"76%",22,3,0,3,3,"Chapecoense",0,15,3,"52%",320,"72%",14,1,2,0,7
"08/09/19","Botafogo",2,11,6,"47%",435,"84%",14,4,0,2,2,"Atlético-MG",1,18,6,"53%",482,"88%",14,2,1,4,8
"14/09/19","Chapecoense",1,19,7,"56%",400,"81%",14,2,0,0,7,"Vasco da Gama",2,15,8,"44%",334,"77%",22,5,0,1,5
"14/09/19","Flamengo",1,12,2,"52%",379,"70%",20,2,0,1,3,"Santos",0,6,0,"48%",349,"74%",24,5,0,3,1
"14/09/19","Ceará SC",0,23,6,"39%",347,"78%",11,1,0,5,18,"Botafogo",0,3,0,"61%",570,"87%",5,1,0,0,0
"14/09/19","Palmeiras",1,13,3,"58%",461,"86%",20,2,0,1,4,"Cruzeiro",0,7,3,"42%",351,"77%",19,3,0,0,4
"15/09/19","São Paulo",1,33,6,"72%",523,"86%",14,1,0,3,11,"CSA",1,7,2,"28%",206,"57%",16,3,0,1,3
"15/09/19","Bahia",1,11,3,"54%",383,"81%",16,1,0,5,5,"Fortaleza",1,9,1,"46%",336,"77%",11,1,0,0,7
"15/09/19","Atlético-MG",1,25,11,"61%",659,"88%",6,0,0,0,10,"Internacional",3,15,9,"39%",435,"83%",14,1,0,1,0
